"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Buy %1$s","Buy a Case of %1$s"
"Buy %1$s for","Buy a Case  of %1$s for"
"Buy %1$s for %2$s","Buy a Case of %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy a Case of %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy a Case of %1$s for %2$s each"
