sku,website_id,price,tier_price:_all_,tier_price:NOT LOGGED IN,tier_price:Retail - $500 - ALL,tier_price:Resale - $500 - ALL,tier_price:Perkins,tier_price:Lifetime,tier_price:Staff,tier_price:Demo,tier_price:Resale - $100 - PO,tier_price:Resale - $500 - PO,tier_price:Cabin Coffee,tier_price:Exempt - $100 - PO,tier_price:Exempt - $500 - PO,tier_price:Exempt - $500 - ALL,tier_price:Retail - $500 - PO,tier_price:Dunn Bros
4700020,1,,,,,4:9.42;120:25.20,,,,,,,,,,,,
4700020,5,,,,,,,4:9.42;120:25.20,,,,,,,,,,
